cod_especie,nom_especie,nom_popular,nom_familia,cod_especie_imp,num_hematocrito_esp,nom_ingles,ind_especie,cod_raca,nom_raca,ind_ani_silvestre,ind_porte,cod_pelagem,tip_pelagem
16,AVE,AVE,,,,BIRD,OU,156,CALOPSITA,S,,,
4,EQUINO DE TRAÇÃO ,EQUINO DE TRAÇÃO ,,,,EQUINE,OU,64,CAMPOLINA,N,,,
16,AVE,AVE,,,,BIRD,OU,276,CANARIO DO REINO,S,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,120,CANE CORSO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,229,CAO D´AGUA PORTUGUES,N,,,
9,REPTIL,REPTIL,,,,REPTILE,OU,14,CASCAVEL,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,133,CAVALIER KING CHARLES SPA,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,154,CERTOSINA,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,403,CHARTREUX,N,P,272.0,C
2,FELINA,FELINA,FELINA,,,FELINE,OU,403,CHARTREUX,N,P,272.0,C
1,CANINA,CANINA,CANINA,,,CANINE,OU,107,CHIHUAHUA,N,,,
18,ROEDOR,ROEDOR,,,,RAT,OU,244,CHINCHILA,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,262,CHINESE CRESTED,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,31,CHOW CHOW,N,,,
23,ANATIDEO,ANATIDEO,ANATIDEO,,,,OU,289,CIGNUS OLLOZ,S,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,256,CIMARRON,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,242,CLUMBER SPANIEL,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,13,COCKER SPANIEL,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,37,COCKER SPANIEL AMERICANO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,38,COCKER SPANIEL INGLES,N,,,
13,CUNICULA,CUNICULA,,,,,OU,274,COELHO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,76,COLLIE,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,253,CORNISH REX,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,201,COTTON DE TULEAR,N,,,
16,AVE,AVE,,,,BIRD,OU,277,CURIÓ,S,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,401,DACHSBRACO ALPINO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,21,DACHSHUND,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,1,DALMATA,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,54,DEVON REX,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,128,DOBERMANN,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,100,DOGO ARGENTINO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,15,DOGUE ALEMAO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,121,DOGUE DE BORDEAUX,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,252,ELKHOUND NORUEGUES,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,152,EUROPEIA,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,92,EXOTICO,N,,,
10,MUSTELIDAE,MUSTELIDAE,,,,,OU,267,FERRET,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,32,FILA BRASILEIRO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,228,FLAT COATED RETRIEVER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,122,FOX HOUND,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,34,FOX PAULISTINHA,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,39,FOX TERRIER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,167,FOX TERRIER BRASILEIRO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,212,GALGO,N,,,
3,BOVINA,BOVINA,BOVINA,,,BOVINE,OU,143,GIROLANDA,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,29,GOLDEN RETRIEVER,N,,,
